income,education_years,land_owned,age,employment_years,has_collateral,num_dependents,credit_score,district,gender,caste,loan_approved
89022,5,1.004,23,16,1,5,239,Jaipur,0,1,0
57866,0,0.683,50,20,0,4,128,Delhi,1,1,0
146932,16,6.84,38,39,0,0,496,Hyderabad,0,0,1
42432,0,0.502,33,1,1,2,491,Delhi,1,1,0
74183,6,1.945,64,9,0,4,623,Mumbai,1,0,0
125268,3,8.41,56,12,0,1,546,Delhi,0,0,1
69886,4,5.8,51,26,1,0,559,Bhopal,0,0,0
152337,3,6.19,59,9,1,8,646,Kolkata,0,0,1
65517,7,0.28300000000000003,32,23,0,4,196,Mumbai,1,1,0
66623,1,3.58,23,40,1,1,286,Lucknow,0,1,0
70249,0,0.06,19,0,0,3,279,Bhopal,1,0,0
50523,0,0.34900000000000003,41,13,0,2,421,Hyderabad,1,1,0
67997,3,0.722,66,18,0,6,206,Pune,1,1,0
17062,0,0.2,45,0,1,0,432,Chennai,1,0,0
36458,1,0.7320000000000001,18,32,0,3,611,Delhi,0,1,0
53443,5,2.356,18,1,1,6,414,Bhopal,0,1,0
51883,3,2.2399999999999998,45,10,0,4,506,Jaipur,0,1,0
15769,13,7.39,53,9,0,3,778,Pune,0,0,0
48577,0,3.2520000000000007,37,38,0,3,607,Lucknow,0,1,0
51951,7,0.516,65,32,0,1,279,Pune,0,1,0
11171,9,0.045,25,0,0,7,357,Kolkata,1,0,0
76930,12,2.7600000000000002,18,14,0,3,286,Pune,0,1,0
71420,0,0.301,43,17,1,1,363,Lucknow,1,1,0
55167,3,1.565,68,2,0,8,612,Jaipur,1,0,0
96120,3,0.3775,60,29,1,6,162,Patna,1,0,0
52054,10,0.4690000000000001,66,18,0,2,72,Patna,1,1,0
171730,1,5.04,42,38,1,6,603,Hyderabad,0,0,1
64660,4,2.34,27,6,0,0,184,Patna,0,1,0
75645,6,1.2825,29,0,0,0,468,Mumbai,1,0,0
90476,9,1.24,58,1,0,3,519,Lucknow,1,0,0
145523,17,3.33,24,20,0,3,732,Delhi,0,0,1
6344,8,0.071,29,6,0,3,106,Bhopal,1,1,0
90255,7,0.36000000000000004,64,29,1,8,296,Kolkata,0,1,0
44398,1,1.085,57,21,0,5,502,Bhopal,1,0,0
79739,10,0.89,34,0,0,2,201,Bhopal,1,0,0
64775,10,2.064,22,23,0,5,589,Kolkata,0,1,0
181845,9,3.05,31,18,0,1,369,Kolkata,0,0,0
134346,14,6.88,51,2,1,1,686,Pune,0,0,1
82435,14,8.64,65,14,1,6,823,Lucknow,0,0,1
46725,2,1.1960000000000002,34,35,0,2,476,Jaipur,0,1,0
53171,8,0.772,52,5,1,6,244,Delhi,0,1,0
46551,16,1.16,18,17,0,2,477,Jaipur,0,0,0
72168,2,1.54,67,29,0,1,127,Chennai,1,0,0
17156,3,1.7760000000000002,67,18,0,3,338,Hyderabad,0,1,0
30062,9,0.188,53,21,0,3,10,Chennai,1,1,0
18890,20,6.53,32,12,1,2,710,Hyderabad,0,0,0
56606,17,1.48,36,38,1,8,454,Pune,0,0,0
56272,6,1.385,68,3,0,5,325,Patna,1,0,0
56019,5,0.527,59,25,0,4,114,Bhopal,1,1,0
13085,2,1.835,22,3,0,5,498,Hyderabad,1,0,0
67593,1,0.05500000000000001,36,15,0,7,349,Hyderabad,1,1,0
169969,11,8.88,60,3,0,4,397,Lucknow,0,0,1
83148,5,7.03,56,35,0,3,318,Patna,0,0,0
139243,18,2.16,22,13,1,6,612,Delhi,0,0,1
87863,2,0.7320000000000001,69,16,0,4,707,Bhopal,0,1,0
110210,0,1.7280000000000002,29,2,0,3,624,Lucknow,0,1,0
