economy,economycode,regionwb,pop_adult,wpid_random,wgt,female,age,educ,inc_q,emp_in,urbanicity_f2f,account,account_fin,account_mob,fin1_1a,fin1_1b,fin2,fin4,fin4a,fin5,fin6,fin7,fin8,fin8a,fin8b,fin9,fin9a,fin10,fin10_1a,fin10_1b,fin10_1c,fin10_1d,fin10_1e,fin10a,fin10b,fin11_1,fin11a,fin11b,fin11c,fin11d,fin11e,fin11f,fin11g,fin11h,fin13_1a,fin13_1b,fin13_1c,fin13_1d,fin13_1e,fin13_1f,fin13a,fin13b,fin13c,fin13d,fin14_1,fin14_2,fin14_2_China,fin14a,fin14a1,fin14b,fin14c,fin14c_2,fin14c_2_China,fin16,fin17a,fin17a1,fin17b,fin20,fin22a,fin22b,fin22c,fin24,fin24a,fin24b,fin26,fin27_1,fin27c1,fin27c2,fin28,fin29_1,fin29c1,fin29c2,fin30,fin31a,fin31b,fin31b1,fin31b1_China,fin31c,fin32,fin33,fin34a,fin34b,fin34d,fin34e,fin35,fin37,fin38,fin39a,fin39b,fin39d,fin39e,fin42,fin42a,fin43a,fin43b,fin43d,fin43e,fin44a,fin44b,fin44c,fin44d,fin45,fin45_1,fin45_1_China,saved,borrowed,receive_wages,receive_transfers,receive_pension,receive_agriculture,pay_utilities,remittances,mobileowner,internetaccess,anydigpayment,merchantpay_dig,year
Nepal,NPL,South Asia,20742576.0,175237265,2.83160028258982,2,20.0,1,2,2.0,1.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,1,2,1,,3,2.0,2.0,2.0,,,,2.0,,,,2,,,,,,1,2.0,2.0,2.0,2.0,2.0,,2,2,,,,,2.0,,,,,,2,2,2,2,2.0,2.0,,0,1,3,4,4,4.0,4,5.0,2,2,0,0.0,2021
Nepal,NPL,South Asia,20742576.0,159391894,0.814143487964571,2,24.0,3,3,2.0,1.0,1,1,1.0,1.0,2.0,1,2.0,,1.0,1.0,2.0,,,,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,2,,,1,1,2,,,,1,2,2.0,1.0,2,2,1,2.0,1,3.0,2.0,1.0,1.0,,,2.0,,,,1,1.0,1.0,2.0,,,1,2.0,1.0,1.0,,,2.0,2,2,,,,,2.0,,,,,,2,2,3,2,2.0,2.0,,1,1,1,4,4,4.0,1,1.0,1,1,1,0.0,2021
Nepal,NPL,South Asia,20742576.0,115669918,0.598946227374183,2,60.0,1,3,2.0,1.0,1,1,0.0,1.0,2.0,2,,,2.0,2.0,2.0,,,,2.0,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,2,,4,1.0,1.0,2.0,,,,2.0,,,,2,,,,,,2,,,,,,,2,2,,,,,2.0,,,,,,2,2,2,2,2.0,1.0,,0,0,4,4,4,4.0,4,5.0,1,2,0,0.0,2021
Nepal,NPL,South Asia,20742576.0,149669519,1.19889066595328,1,30.0,2,1,1.0,1.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,1,,3,2.0,1.0,2.0,,,,2.0,,,,2,,,,,,1,2.0,2.0,2.0,1.0,,,2,2,,,,,2.0,,,,,,1,1,2,2,2.0,2.0,,0,1,2,4,4,4.0,4,5.0,1,1,0,0.0,2021
Nepal,NPL,South Asia,20742576.0,172962494,2.12892021765571,1,19.0,2,5,1.0,1.0,1,1,0.0,1.0,1.0,2,,,2.0,2.0,2.0,,,,2.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2,,,2,1,2,,,,2,1,,2.0,2,2,2,,2,2.0,2.0,2.0,,,,2.0,,,,2,,,,,,2,,,,,,,2,2,,,,,2.0,,,,,,2,1,2,2,2.0,2.0,,1,0,4,4,4,4.0,4,5.0,1,1,1,0.0,2021
Nepal,NPL,South Asia,20742576.0,168417725,0.277475100000039,1,37.0,1,5,1.0,1.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,2,,2,2.0,1.0,1.0,1.0,,,2.0,,,,2,,,,,,2,,,,,,,2,2,,,,,1.0,1.0,2.0,2.0,1.0,,1,1,1,1,1.0,2.0,,0,0,4,4,4,2.0,4,1.0,2,2,0,0.0,2021
Nepal,NPL,South Asia,20742576.0,166423658,0.567849566213366,1,50.0,1,1,2.0,1.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,1,1,2,,2,1.0,1.0,2.0,,,,2.0,,,,2,,,,,,2,,,,,,,2,2,,,,,2.0,,,,,,1,1,1,1,2.0,1.0,,0,1,4,4,4,4.0,4,5.0,1,2,0,0.0,2021
Nepal,NPL,South Asia,20742576.0,165116392,0.515305388653094,1,30.0,2,3,1.0,1.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,1.0,1,2,1,2.0,2,2.0,1.0,2.0,,,,2.0,,,,2,,,,,,2,,,,,,,2,2,,,,,1.0,1.0,2.0,2.0,1.0,,1,2,2,2,2.0,1.0,,1,1,4,4,4,2.0,4,5.0,1,2,0,0.0,2021
Nepal,NPL,South Asia,20742576.0,192388431,1.89207149392382,2,24.0,1,4,1.0,2.0,1,1,0.0,1.0,2.0,1,1.0,2.0,2.0,2.0,2.0,,,,2.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,1,,2,3.0,2.0,2.0,,,,1.0,2.0,1.0,2.0,1,2.0,2.0,,,1.0,1,2.0,2.0,2.0,1.0,,,2,2,,,,,1.0,1.0,2.0,2.0,1.0,,2,1,2,2,3.0,1.0,,1,1,2,4,4,2.0,2,3.0,1,1,1,0.0,2021
Nepal,NPL,South Asia,20742576.0,160763754,0.263544210014897,1,45.0,2,5,1.0,2.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,2,,2,2.0,2.0,2.0,,,,1.0,2.0,1.0,2.0,2,,,,,,2,,,,,,,2,2,,,,,2.0,,,,,,2,2,3,1,1.0,3.0,,0,0,4,4,4,4.0,4,3.0,1,2,0,0.0,2021
Nepal,NPL,South Asia,20742576.0,120817102,1.29199342107425,1,25.0,1,2,2.0,1.0,1,0,1.0,,,2,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,,,,,,,1.0,2.0,1.0,1.0,1,1.0,,2,2,2,,,,2,2,2.0,2.0,1,2,1,,3,2.0,3.0,2.0,,,,2.0,,,,1,2.0,2.0,,,2.0,2,,,,,,,2,2,,,,,2.0,,,,,,1,1,1,1,1.0,1.0,,0,1,4,4,4,4.0,3,5.0,1,2,1,1.0,2021
Nepal,NPL,South Asia,20742576.0,120853784,0.452922480377279,2,70.0,1,2,2.0,2.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,,,,,,,,,,,2,,,2,2,2,,,,2,1,,2.0,2,2,2,,5,1.0,1.0,2.0,,,,2.0,,,,2,,,,,,2,,,,,,,1,2,2.0,2.0,2.0,2.0,2.0,,,,,,1,1,1,1,2.0,1.0,,1,0,4,3,4,4.0,4,5.0,2,2,0,0.0,2021
Nepal,NPL,South Asia,20742576.0,138465729,0.905844960754559,2,72.0,1,1,1.0,1.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,1.0,2,2,2,2.0,3,1.0,4.0,2.0,,,,1.0,2.0,1.0,2.0,1,2.0,2.0,,,1.0,2,,,,,,,2,2,,,,,2.0,,,,,,1,2,1,1,1.0,3.0,,1,0,4,4,4,4.0,2,3.0,2,2,0,0.0,2021
Nepal,NPL,South Asia,20742576.0,118932667,1.24871623767376,2,69.0,1,1,1.0,1.0,1,1,0.0,2.0,2.0,2,,,2.0,2.0,2.0,,,,2.0,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,2,,5,1.0,1.0,2.0,,,,2.0,,,,2,,,,,,2,,,,,,,2,2,,,,,2.0,,,,,,2,2,3,3,1.0,3.0,,0,0,4,4,4,4.0,4,5.0,1,2,0,0.0,2021
Nepal,NPL,South Asia,20742576.0,132874126,2.5703247305113,1,37.0,1,5,1.0,1.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,1,,3,2.0,1.0,2.0,,,,1.0,2.0,1.0,2.0,2,,,,,,2,,,,,,,2,2,,,,,2.0,,,,,,2,2,1,2,2.0,1.0,,0,1,4,4,4,4.0,4,3.0,1,1,0,0.0,2021
Nepal,NPL,South Asia,20742576.0,125602659,0.281346651716263,1,25.0,2,1,2.0,2.0,1,1,0.0,3.0,3.0,2,,,2.0,2.0,2.0,,,,2.0,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,2,,2,2.0,1.0,2.0,,,,2.0,,,,2,,,,,,2,,,,,,,2,2,,,,,2.0,,,,,,2,1,2,2,2.0,3.0,,0,0,4,4,4,4.0,4,5.0,1,1,0,0.0,2021
Nepal,NPL,South Asia,20742576.0,145343834,0.359653699184419,2,24.0,2,5,1.0,1.0,1,1,1.0,2.0,2.0,1,2.0,,1.0,1.0,2.0,,,,1.0,2.0,1.0,,,,,,2.0,1.0,,,,,,,,,,,,,,,,2.0,2.0,2.0,1.0,2,,,2,1,2,,,,2,1,2.0,1.0,2,2,2,2.0,1,2.0,2.0,1.0,1.0,,,2.0,,,,2,,,,,,1,2.0,1.0,2.0,,,2.0,1,2,2.0,2.0,2.0,1.0,2.0,,,,,,3,3,3,3,,3.0,,1,0,1,1,4,4.0,4,1.0,1,1,1,0.0,2021
