is_female,has_account,has_borrowed,saved,inc_q,educ,age,is_urban,is_employed,has_mobile,has_internet,has_digital_payment,receives_remittances
0,0,1,0,2,1,20.0,1,0,0,0,0,0
0,1,1,1,3,3,24.0,1,0,1,1,1,1
0,1,0,0,3,1,60.0,1,0,1,0,0,0
1,0,1,0,1,2,30.0,1,1,1,1,0,0
1,1,0,1,5,2,19.0,1,1,1,1,1,0
1,0,0,0,5,1,37.0,1,1,0,0,0,1
1,0,1,0,1,1,50.0,1,0,1,0,0,0
1,0,1,1,3,2,30.0,1,1,1,0,0,0
1,1,1,0,2,1,25.0,1,0,1,0,1,0
0,0,0,1,2,1,70.0,0,0,0,0,0,0
0,1,0,0,1,1,69.0,1,1,1,0,0,0
1,1,0,0,1,2,25.0,0,0,1,1,0,0
0,1,0,1,5,2,24.0,1,1,1,1,1,1
1,0,0,0,3,1,40.0,0,1,1,0,0,0
1,1,1,1,4,1,40.0,1,1,1,1,0,0
1,0,1,0,3,1,60.0,1,1,1,0,0,0
1,0,0,0,2,2,32.0,1,0,0,0,0,1
1,0,0,0,5,2,20.0,0,1,0,0,0,0
0,0,1,0,2,2,18.0,1,1,0,0,0,0
1,0,1,0,1,1,30.0,1,1,1,0,0,0
0,1,1,1,2,2,31.0,0,1,1,1,1,1
0,1,1,1,5,1,37.0,1,1,1,0,0,0
1,1,1,0,1,1,34.0,1,0,1,0,0,0
1,0,1,0,1,1,54.0,1,1,1,0,0,0
1,0,1,0,2,1,44.0,1,1,0,0,0,0
0,1,0,0,2,1,52.0,0,1,1,0,1,0
1,0,1,0,5,1,58.0,1,1,0,0,0,0
1,0,1,1,1,2,22.0,1,1,1,1,0,0
1,1,0,0,5,1,70.0,0,0,0,0,1,0
1,1,0,1,5,3,40.0,0,1,1,1,1,0
0,0,0,0,5,2,23.0,0,1,1,1,0,1
0,1,1,1,2,1,50.0,1,1,1,1,1,1
1,1,0,1,3,2,32.0,1,1,1,1,1,1
0,1,0,1,4,1,80.0,1,1,1,0,1,0
0,1,0,1,1,1,50.0,1,1,1,0,1,0
1,1,0,0,4,1,38.0,0,1,1,1,1,0
0,0,1,0,2,2,50.0,1,0,1,0,0,0
0,0,0,0,4,1,69.0,1,1,1,0,0,1
1,1,1,1,3,1,48.0,0,1,1,1,0,0
0,1,1,0,1,2,30.0,0,1,1,1,1,0
0,0,1,0,1,1,45.0,1,1,1,0,0,0
0,0,1,0,3,1,45.0,1,1,0,0,0,0
0,1,1,1,5,2,56.0,1,0,1,1,1,1
1,0,1,1,2,1,15.0,1,1,1,0,0,0
0,1,0,1,4,1,39.0,1,1,1,0,0,0
0,1,0,1,4,2,17.0,1,0,1,1,0,0
0,1,0,0,5,2,20.0,1,0,1,1,1,1
1,0,0,0,2,2,16.0,0,0,1,0,0,0
0,0,0,0,2,2,43.0,0,1,1,1,0,0
0,1,1,0,3,2,62.0,1,1,1,0,0,0
1,1,0,0,1,1,56.0,1,1,0,0,0,0
0,0,1,0,1,1,25.0,0,1,1,0,0,0
0,1,1,0,2,1,16.0,1,0,1,1,0,0
1,1,0,0,5,1,50.0,1,1,1,0,0,0
0,1,1,1,1,1,29.0,1,1,1,0,1,1
0,0,0,0,2,1,50.0,1,1,1,0,0,0
1,1,0,1,2,1,32.0,1,1,1,0,0,0
1,1,1,1,2,2,18.0,1,1,1,1,1,0
1,1,0,0,1,1,60.0,1,0,0,0,1,0
0,1,0,0,2,1,53.0,1,0,1,0,0,0
0,1,1,0,4,2,28.0,1,1,1,1,0,0
0,0,1,0,2,1,25.0,1,1,1,1,0,0
0,0,0,0,1,1,68.0,1,1,1,0,0,0
1,1,1,0,4,1,45.0,1,1,0,0,0,0
1,1,1,0,4,1,35.0,1,1,1,0,0,0
1,1,1,1,5,1,48.0,1,1,1,1,1,0
1,1,1,0,4,1,47.0,0,1,1,0,0,0
0,0,1,0,3,2,21.0,1,1,1,1,0,0
1,1,1,0,1,1,45.0,1,1,1,0,0,0
0,1,1,0,5,2,57.0,1,1,1,1,1,1
0,1,0,1,5,2,62.0,1,0,1,1,1,1
0,0,0,0,3,3,23.0,1,1,1,1,0,0
0,0,1,0,1,2,70.0,1,1,1,0,0,0
1,0,0,1,5,1,50.0,1,1,1,0,0,0
1,0,1,1,2,1,24.0,1,1,1,0,0,0
0,1,1,0,3,3,36.0,1,1,1,1,1,1
1,0,0,0,2,1,59.0,1,1,0,0,0,0
